"ETHNOLOGUE 16 ed                         "						
"Language Name"	"iso"	"Classification"	"No. of Speakers"	"Latitude"	"Longitude"	"Misc."
"Big Nambas"	"nmb"	101	3350	-16.08	167.2	
"Nasarian"	"nvh"	101	5	-16.33	167.42	
"Katbol"	"tmb"	101	700	-16.25	167.42	
"Vinmavis"	"vnm"	101	500	-16.17	167.5	
"Dixon Reef"	"dix"	91	50	-16.33	167.5	
"Letemboi"	"nms"	101	800	-16.42	167.58	
"Repanbitip"	"rpn"	101	90	-16.58	167.58	
"S Efate"	"erk"	81	6000	-17.67	168.25	
"N"	"llp"	10	9500	-16.92	168.5	2
"Eton"	"etn"	10	500	-17.75	168.5	
"Lelepa"	"lpa"	10	400	-17.58	168.17	2
"Namakura"	"nmk"	101	3750	-17	168.5	
"Apma"	"app"	91	7800	-15.67	168.17	
"Dakaka"	"bpa"	101	1200	-16.25	168	
"Baetora"	"btr"	101	1330	-15.25	168.08	
"Lonwolwol"	"crc"	101	1200	-16.22	168	
"Hiw"	"hiw"	101	150	-13.08	166.5	
"Toga"	"lht"	10	500	-13.33	166.67	
"Koro"	"krf"	101	160	-14.25	167.42	
"Lakon"	"lkn"	101	700	-14.25	167.42	
"Hano"	"lml"	101	6500	-15.5	168.17	
"Motlav"	"mlv"	101	2200	-13.58	167.58	
"N Ambrym"	"mmg"	101	5250	-16.17	168.17	
"SE"	"tvk"	101	3700	-16.3	168.22	
"Marino"	"mrb"	101	1400	-14.92	168.08	
"Merlav"	"mrm"	101	1550	-14.42	168	
"Mosina"	"msn"	101	1050	-13.92	167.5	
"Mota"	"mtt"	101	900	-13.83	167.67	
"C Maewo"	"mwo"	101	1400	-15	168.08	
"W Ambae"	"nnd"	101	8700	-15.33	167.75	
"E"	"omb"	10	5000	-15.42	167.88	2
"Paama"	"pma"	101	6000	-16.5	168.25	
"Port Vato"	"ptv"	101	1300	-16.25	168	
"Seke"	"ske"	101	600	-15.83	168.17	
"Sa"	"sax"	101	2500	-16	168.17	
"Sowa"	"sww"	101	20	-15.83	168.17	
"Nume"	"tgs"	101	900	-14.17	167.5	
"Lehali"	"tql"	101	250	-13.5	167.25	
"Lemerig"	"lrz"	101	2	-13.83	167.43	
"Loyop"	"urr"	101	250	-13.5	167.25	
"Vatrata"	"vlr"	101	280	-13.83	167.42	
"Dorig"	"wwo"	101	157	-14.33	167.5	
"Bieria"	"brj"	91	25	-16.75	168.17	
"Maii"	"mmm"	111	180	-16.75	168.08	
"Baki"	"bki"	101	350	-16.67	168.08	
"Bierebo"	"bnk"	121	800	-16.58	168.08	
"Lamenu"	"lmu"	111	850	-16.58	168.08	
"Lewo"	"lww"	12	2200	-16.75	168.33	
"Axamb"	"ahb"	91	750	-16.5	167.75	
"Aulua"	"aul"	101	750	-16.33	167.67	
"Maskelynes"	"klv"	101	1100	-16.5	167.83	
"Malua Bay"	"mll"	101	500	-16	167.17	
"Malfaxal"	"mlx"	101	600	-16.5	167.5	
"Mae"	"mme"	101	1000	-16	167.25	
"Mpotovoro"	"mvt"	101	430	-15.83	167.17	
"Unua"	"onu"	101	525	-16.33	167.67	
"Rerep"	"pgk"	101	375	-16.25	167.58	
"Port Sandwich"	"psw"	101	1200	-16.42	167.75	
"S W Bay"	"sns"	101	600	-16.5	167.5	
"Uripiv-W-R-A"	"upv"	101	9000	-16	167.33	
"Vao"	"vao"	101	1900	-16	167.33	
"Burmbar"	"vrt"	101	900	-16.42	167.75	
"Araki"	"akr"	91	8	-15.67	166.92	
"Amblong"	"alm"	101	300	-15.5	166.92	
"Morouas"	"mrp"	10	150	-15.33	166.83	
"Narango"	"nrg"	10	160	-15.5	167.08	
"Aore"	"aor"	101	-2005	-15.5	167.17	
"Fortsenal"	"frt"	101	450	-15.42	166.92	
"Merei"	"lmb"	101	400	-15.25	166.92	
"Mafea"	"mkv"	101	250	-15.42	167.25	
"Malo"	"mla"	101	4000	-15.67	167.17	
"Tiale"	"mnl"	101	400	-15.17	166.83	
"Nokuku"	"nkk"	101	160	-14.83	166.58	
"Navut"	"nsw"	101	525	-15.25	166.75	
"Piamatsina"	"ptr"	101	150	-15	166.67	
"Roria"	"rga"	101	75	-15.42	166.83	
"Tangoa"	"tgp"	101	800	-15.58	167	
"Tolomako"	"tlm"	101	900	-15.08	166.75	
"Tambotalo"	"tls"	101	50	-15.5	167.17	
"Tutuba"	"tmi"	101	500	-15.5	167.25	
"Tasmate"	"tmt"	101	150	-15.08	166.67	
"Akei"	"tsr"	101	650	-15.5	166.75	
"Wailapa"	"wlr"	10	100	-15.61	166.88	
"Valpei"	"vlp"	101	300	-14.83	166.58	
"Vunapu"	"vnp"	101	375	-14.83	166.67	
"Wusi"	"wsi"	101	300	-15.25	166.67	
"Aneityum"	"aty"	61	900	-20.2	169.8	
"Sie"	"erg"	71	1900	-18.83	169.17	
"Ifo"	"iff"	8	-1954			
"Ura"	"uur"	81	6	-18.67	169.08	
"SW Tanna"	"nwi"	71	5000	-19.57	169.33	
"N"	"tnn"	8	5000	-19.33	169.25	2
"Kwamera"	"tnk"	8	3500	-19.58	169.42	
"Lenakel"	"tnl"	8	11500	-19.45	169.25	2
"Whitesands"	"tnp"	8	7500	-19.5	169.42	2
"Bughotu"	"bgt"	61	4048	-8.5	159.83	
"Lengo"	"lgr"	81	13752	-9.5	160.42	
"Gela"	"nlg"	91	11876	-9.08	160.25	
"Birao"	"brr"	81	5900	-9.75	160.5	
"Ghari"	"gri"	91	12119	-9.5	159.75	
"Malango"	"mln"	91	4135	-9.58	160.08	
"Talise"	"tlr"	91	12525	-9.75	160.17	
"Longgu"	"lgu"	71	1894	-9.75	160.67	
"Toabaita"	"mlu"	91	12572	-8.42	160.58	2
"Baelelea"	"bvc"	10	8800	-8.42	160.67	2
"Baeggu"	"bvd"	10	5900	-8.42	160.75	2
"Fataleka"	"far"	10	6703	-8.58	160.83	2
"Kwaraae"	"kwf"	10	32433	-8.83	160.83	2
"Lau"	"llu"	10	16937	-9.58	161.5	2
"Gulaalaa"	"gmb"	10	1568	-9	161.5	2
"Kwaio"	"kwd"	101	13249	-8.95	161	2
"Wala"	"lgl"	101	6978	-8.83	160.67	2
"Areare"	"alu"	91	17900	-9.25	161.17	2
"Dorio"	"dor"	10	2406	-9	160.83	2
"Saa"	"apb"	101	11519	-9.62	161.45	2
"Oroha"	"ora"	101	38	-9.75	161.5	
"Kahua"	"agw"	81	5170	-10.67	162.25	
"Owa"	"stn"	9	8410	-10.83	162.5	
"Arosi"	"aia"	91	6750	-10.25	161.33	
"Bauro"	"bxa"	91	4980	-10.67	161.83	
"Fagani"	"faf"	91	902	-10.42	161.67	
"Mussau-Emira"	"emi"	51	5000	-1.45	149.62	2
"Tenis"	"tns"	61	30			
"Aiwoo"	"nfl"	51	8400	-10.33	166.25	
"Nagu"	"ngr"	71	210	-10.83	166.08	
"Natugu"	"stc"	71	5899	-10.78	165.87	1
"Asumboa"	"aua"	61	10	-11.33	166.67	2
"Tanibili"	"tbe"	81	15	-11.33	166.67	2
"Amba"	"utp"	81	593	-11.33	166.67	2
"Teanu"	"tkw"	71	520	-11.63	166.83	2
"Tanema"	"tnx"	7	4			2
"Vano"	"vnk"	7	5			2
"Uneapa"	"bbn"	51	10000	-4.9	149.12	
"Muduapa"	"wiv"	8	8800	-4.75	149.5	
"Tungag"	"lcm"	71	12000	-2.55	150.25	2
"Kara"	"leu"	91	5000	-2.83	151.12	2
"Nalik"	"nal"	91	5138	-2.95	151.33	2
"Mandara"	"tbf"	91	2500	-2.83	152	
"Tiang"	"tbj"	91	791	-3	151	2
"Tigak"	"tgc"	91	6000	-2.72	150.8	2
"Barok"	"bjk"	81	2116	-3.5	152.17	
"Lavatbura-Lam"	"lbv"	91	1308	-3.17	151.75	
"Madak"	"mmx"	91	3000	-3.25	152	
"Babatana"	"baa"	81	7070	-7.33	157.5	
"Ririo"	"rri"	101	79	-6.83	156.92	
"Vaghua"	"tva"	101	1960	-6.75	156.58	
"Varisi"	"vrs"	101	5161	-6.92	156.75	
"Mono"	"mte"	91	3337	-7.05	155.75	
"Torau"	"ttu"	101	605	-6.17	155.5	
"Uruava"	"urv"	101	-1	-6.18	155.62	
"Minigir"	"vmg"	101	598	-4.25	152	
"Halia"	"hla"	91	20000	-5.25	154.67	2
"Hako"	"hao"	12	5000	-5	155.67	2
"Petats"	"pex"	111	2000	-5.17	154.5	
"Nehan"	"nsn"	101	6500	-4.5	154.2	
"Papapana"	"ppn"	101	120	-6	155.25	
"Hahon"	"hah"	101	1300	-5.75	154.83	
"Saposa"	"sps"	111	1400	-5.53	154.63	
"Teop"	"tio"	111	5000	-5.67	155	
"Tinputz"	"tpz"	111	3900	-5.67	155	2
"Solos"	"sol"	101	3200	-5.25	154.67	
"Vangunu"	"mpr"	91	907	-8.58	158	
"Marovo"	"mvo"	11	8094	-8.42	157.75	
"Lungga"	"lga"	101	2767	-8.08	156.5	
"Ghanongga"	"ghn"	11	2508	-8	156.5	
"Simbo"	"sbb"	11	2701	-8.33	156.5	
"Kusaghe"	"ksg"	111	2395	-8.08	157.42	
"Hoava"	"hoa"	11	459	-8.08	157.5	
"Duke"	"nke"	111	2312	-8	157	
"Roviana"	"rug"	111	9871	-8.25	157.33	1
"Ughele"	"uge"	111	1202	-8.42	157.75	
"Kazukuru"	"kzk"	111	-1	-8.2	157.4	
"Dororo"	"drr"	11	-1	-8.2	157.4	
"Guliguli"	"gli"	11	-1	-8.2	157.4	
"Patpatar"	"gfk"	91	7000	-3.77	152.5	
"Guramalum"	"grz"	101	3	-4.25	153	
"Konomala"	"koa"	101	800	-4.17	153	
"Kandas"	"kqw"	101	480	-4.25	152.83	
"Kuanua"	"ksd"	101	61000	-4.25	152.08	
"Ramoaaina"	"rai"	10	10266	-4.17	152.33	2
"Label"	"lbb"	101	144	-4.25	152.75	
"Sursurunga"	"sgz"	101	3000	-4	152.77	
"Siar-Lak"	"sjr"	101	2076	-4.67	152.92	2
"Tangga"	"tgg"	101	5800	-3.47	153.2	
"Banoni"	"bcm"	91	1000	-6.42	155.25	
"Lawunuia"	"tgi"	101	550	-6.08	155	
"Blablanga"	"blp"	91	1772	-8.17	159.33	
"Zazao"	"jaj"	111	10	-8.17	159.33	
"Kokota"	"kkk"	111	530	-8	159.13	
"Gao"	"gga"	101	1215	-8.33	159.83	
"Cheke Holo"	"mrn"	111	10840	-8.33	159.67	
"Zabana"	"kji"	101	3355	-7.58	158.58	
"Laghu"	"lgb"	111	15	-8	158.92	
"Bilur"	"bxf"	91	2304	-4.25	152.42	
"Lihir"	"lih"	81	12571	-3.08	152.67	
"Notsi"	"ncf"	91	1836	-3	151.58	2
"Tomoip"	"tqp"	81	700	-5.25	151.83	
"Bulu"	"bjl"	71	906	-5	150.08	
"Bola"	"bnp"	81	13746	-5.33	150	
"Meramera"	"mxm"	81	2000	-4.92	151.5	2
"Nakanai"	"nak"	81	13000	-5.58	150.58	
"Duwet"	"gve"	61	398	-6.5	146.83	
"Aribwatsa"	"laz"	111	-1	-6.72	147	
"Musom"	"msu"	111	200	-6.58	147	
"Nafi"	"srf"	111	157	-6.5	146.83	
"Aribwaung"	"ylu"	111	1000	-6.75	146.92	
"Labu"	"lbu"	101	1600	-6.83	146.92	
"Wampar"	"lbq"	101	5150	-6.75	146.67	
"Adzera"	"adz"	91	28900	-6.25	146.25	
"Mari"	"hob"	101	810	-6	145.83	
"Sarasira"	"zsa"	111	600			
"Sukurum"	"zsu"	111	1160			
"Wampur"	"waz"	111	320	-6.42	146.08	
"S Watut"	"mcy"	91	889	-7.08	146.33	
"M"	"mpl"	101	1350	-6.83	146.33	
"N"	"una"	101	465	-6.75	146.25	
"Bugawac"	"buk"	81	9694	-6.75	147.25	
"Yabem"	"jae"	91	2084	-6.58	147.78	
"Kela"	"kcl"	91	2145	-7.42	147.08	
"Numbami"	"sij"	81	270	-7.5	147.25	
"Mapos Buang"	"bzh"	81	10484	-6.92	146.83	2
"Mangga B"	"mmo"	11	3000	-7	146.67	2
"Dambi"	"dac"	111	711	-7	146.5	2
"Gorakor"	"goc"	12	2741	-6.92	146.58	2
"Kumalu"	"ksl"	12	2583			2
"Patep"	"ptp"	12	1700	-6.92	146.58	2
"Zenag"	"zeg"	12	1818	-6.92	146.5	2
"Kapin"	"tbx"	11	2351	-7.08	146.5	2
"Piu"	"pix"	111	100	-7	146.42	
"Vehes"	"val"	111	70	-6.92	146.92	
"Hote"	"hot"	101	2237	-7.08	146.92	
"Yamap"	"ymp"	111	1581	-7	147.83	
"Iwal"	"kbm"	91	1500	-10.33	150.58	
"Bariai"	"bch"	71	1380	-5.58	148.75	2
"Kove"	"kvc"	10	6750	-5.67	149.75	
"Lusi"	"khl"	10	2000	-5.58	149.67	
"Malalamai"	"mmt"	101	548			
"Gitua"	"ggt"	91	759	-6.08	147.5	
"Mutu"	"tuc"	101	3500	-5.83	148	2
"Awad Bing"	"bcu"	81	1450	-5.67	146.33	
"Mindiri"	"mpn"	111	80	-5.58	146.08	
"Wab"	"wab"	111	120	-5.67	146.5	
"Bilbil"	"brz"	101	1246	-5.25	145.75	
"Gedaged"	"gdd"	121	6954	-5.17	145.75	
"Matukar"	"mjk"	121	434	-4.92	145.75	
"Takia"	"tbc"	121	40000	-4.67	146	
"Marik"	"dad"	111	3500	-5.42	145.58	3
"Maleu-Kilinge"	"mgl"	91	5200	-5.72	148.42	2
"Arop-Lokep"	"apr"	91	3015	-5.38	147.05	2
"Karnai"	"bbv"	101	915	-5.83	147.92	
"Malasanga"	"mqz"	101	900	-6	147.08	
"Mbula"	"mna"	91	4500	-5.67	148.08	2
"Mamusi"	"kdf"	91	6000	-5.83	151.08	
"Mengen"	"mee"	101	8400	-5.5	151.5	2
"Lote"	"uvl"	101	5500	-6	150.92	
"Mato"	"met"	91	580	-6	146.92	2
"Ronji"	"roe"	101	449	-5.92	146.58	2
"Sio"	"xsi"	91	3500	-5.95	147.33	
"Amara"	"aie"	91	1170	-5.67	148.5	
"Akolet"	"akt"	101	954	-6.08	149.08	
"Avau"	"avb"	131	621	-6.17	150.17	
"Bebeli"	"bek"	131	1050	-5.67	150.25	
"Lesing-Gelimi"	"let"	131	929	-6.17	150.75	
"Mangseng"	"mbh"	121	2500	-5.92	150.67	
"Solong"	"aaw"	121	2200	-5.92	148.83	
"Apalik"	"apo"	131	374	-6.33	149.75	
"Gimi"	"gip"	13	3697	-6	149.5	
"Aiklep"	"mwg"	13	3697	-6.25	149.67	
"Kaulong"	"pss"	111	4000	-6.17	149.67	2
"Aighon"	"aix"	12	2000	-6	150	
"Miu"	"mpo"	12	500	-5.92	149.58	2
"Sengseng"	"ssz"	12	1750	-6.17	149.83	
"Karore"	"xkx"	12	550	-5.5	150.33	
"Lamogai"	"lmg"	101	3653	-5.92	149.33	
"Mouk-Aria"	"mwh"	111	626	-5.75	149.08	
"Tami"	"tmy"	91	1500	-6.75	147.75	2
"Kayupulau"	"kzu"	71	50	-2.5	140.75	
"Ormu"	"orz"	91	500	-2.42	140.58	
"Tobati"	"tti"	91	350	-2.58	140.67	
"Bonggo"	"bpg"	81	790	-2.25	139.5	
"Sobei"	"sob"	91	1000	-1.92	138.75	
"Anus"	"auq"	9	320	-2.17	139.5	
"Masimasi"	"ism"	9	10	-2	139.08	
"Liki"	"lio"	9	11	-1.58	138.75	
"Fedan"	"pdn"	9	280	-2.08	139.5	
"Mo"	"wkd"	9	550			
"Sunum"	"ymn"	9	560	-2	139.25	
"Yarsun"	"yrs"	9	200	-2.17	139.5	
"Tarpia"	"tpf"	91	630	-2.33	140	
"Kaptiau"	"kbi"	91	230			
"Kaiep"	"kbw"	71	300	-3.58	143.83	
"Terebu"	"trb"	10	128	-3.67	143.83	
"Kairiru"	"kxa"	101	3200	-3.33	143.58	
"Biem"	"bmc"	91	2200	-3.5	144.58	
"Kis"	"kis"	101	220	-3.83	144	
"Medebur"	"mjm"	101	514	-4.5	145.42	
"Manam"	"mva"	101	7949	-4	145	3
"Sepa"	"spe"	10	697	-4.25	145	
"Wogeo"	"woc"	101	1624	-3.17	144.08	3
"Arop-Sissano"	"aps"	81	1150	-3	142.17	
"Malol"	"mbk"	91	3330	-3.08	142.25	
"Sera"	"sry"	91	510	-2.92	142	
"Sissano"	"sso"	91	300	-3	142.08	2
"Ulau-Suain"	"svb"	91	2797	-3.25	142.83	
"Tumleo"	"tmq"	91	793	-3.08	142.42	
"Yakamul"	"ykm"	91	3463	-3.25	142.67	
"Maisin"	"mbq"	61	2612	-9.5	149.17	3
"Anuki"	"aui"	81	890	-9.58	149.83	
"Arifama-Minia"	"aai"	91	3469	-9.17	149.17	3
"Ghayavi"	"bmk"	111	2807	-10	149.83	
"Gapapaiwa"	"pwg"	11	3000	-9.75	149.83	3
"Doga"	"dgg"	111	200	-9.67	149.83	
"Are"	"mwc"	111	1231	-9.67	150	
"Ubir"	"ubr"	111	2560	-9.33	149.17	
"Kaninuwa"	"wat"	111	360	-9.25	150.25	
"Gweda"	"grw"	101	26	-10.25	150.5	
"Haigwai"	"hgw"	111	1060	-10.33	150.17	
"Maiwala"	"mum"	111	2448	-10.42	150.33	
"Minaveha"	"mvn"	111	2300	-9.6	150.47	3
"Tawala"	"tbo"	111	20000	-10.33	150.67	2
"Wedau"	"wed"	111	2200	-10.17	150.17	
"Taupota"	"tpa"	11	1276	-10.25	150.42	
"Waema"	"wag"	11	1023	-10.33	150.33	
"Yakaikeke"	"ykk"	111	100	-10.08	150	
"Bwaidoka"	"bwd"	91	6500	-9.5	150.33	
"Diodio"	"ddi"	101	2184	-9.42	150.17	
"Koluawawa"	"klx"	101	900	-9.42	150.5	
"Molima"	"mox"	101	4010	-9.58	150.58	
"Maiadomu"	"mzz"	101	726	-9.5	150.67	
"Iduna"	"viv"	101	6000	-9.33	150.25	
"Iamalele"	"yml"	101	2800	-9.5	150.5	3
"Bunama"	"bdd"	91	4000	-10.08	151.08	
"Bosilewa"	"bwf"	101	614	-9.5	150.67	
"Dobu"	"dob"	101	10000	-9.75	150.75	3
"Duau"	"dva"	101	3550	-10	151.17	
"Galeya"	"gar"	101	3414	-9.5	150.83	
"Mwatebu"	"mwa"	101	120	-10	151	
"Sewa Bay"	"sew"	101	1516	-10	150.92	
"Gumawana"	"gvs"	91	469	-9.25	150.83	
"Dawawa"	"dww"	91	2500	-10.17	149.92	
"Kakabai"	"kqf"	101	900	-10.17	150.08	
"Buhutu"	"bxh"	81	1350	-10.5	150.25	
"Auhelawa"	"kud"	91	1200	-10.08	151	
"Suau"	"swp"	91	6795	-10.67	150.17	
"Oyaoya"	"oyy"	9	367	-10.58	150.67	
"Saliba"	"sbe"	9	2500	-10.58	150.72	
"Bwanabwana"	"tte"	9	2400	-10.75	151.25	
"Wagawaga"	"wgw"	91	1294	-10.42	150.42	
"Bina"	"bmn"	71	-1			
"Yoba"	"yob"	111	-1			
"Magori"	"zgr"	111	100	-10.33	149.5	
"Ouma"	"oum"	101	-1			
"Hula"	"hul"	91	3420	-10	147.75	
"Keapara"	"khz"	10	19400	-10.08	148	
"Motu"	"meu"	101	39000	-9.33	147	
"Sinaugoro"	"snc"	101	18000	-9.83	147.83	
"Abadi"	"kbt"	91	4300	-9	147	
"Toura"	"don"	101	1800	-9.08	147	
"Kuni"	"kse"	111	2400	-8.67	146.83	
"Mekeo"	"mek"	111	19000	-8.33	146.5	
"Lala"	"nrz"	111	3000	-8.92	146.75	
"Waima"	"rro"	111	15000	-8.75	146.58	3
"Budibud"	"btp"	81	309	-9.25	153.42	
"Kilivila"	"kij"	101	20000	-8.5	151.08	
"Muyuw"	"myw"	101	6000	-9.08	152.75	2
"Misima-Paneat"	"mpx"	91	18000	-10.67	152.58	3
"Nimoa"	"nmw"	91	1100	-11.25	153.17	
"Sudest"	"tgo"	101	2000	-11.5	153.45	
"Yapese"	"yap"	52	7170	9.58	138.17	"  1      (E MP: Ya)"
"Gane"	"gzn"	42	2900	-0.5	127.83	"         (E MP: SH-WNG)"
"E Makian"	"mky"	71	20000	0	127.5	
"Irarutu"	"irh"	61	4000	-3	133.5	
"Kuri"	"nbn"	7	500	-2.83	134	
"Buli"	"bzq"	61	2524	1	128.5	
"Maba"	"mqa"	71	6617	0.5	128.42	
"Patani"	"ptn"	71	10583	0.33	128.5	
"Sawai"	"szw"	71	12000	0.5	128	
"Bedoanas"	"bed"	51	180	-2.75	132.58	
"Erokwanas"	"erw"	71	200	-2.75	132.75	
"Biak"	"bhw"	61	30000	-1	136	
"Dusner"	"dsn"	81	6	-2.75	134.42	
"Meoswar"	"mvx"	81	250	-2.08	134.33	
"Iresim"	"ire"	71	70	-3.5	135	
"Mor"	"mhz"	71	700	-3	135.75	
"As"	"asz"	71	230	-0.75	131.67	
"Biga"	"bhc"	81	300	-1.8	129.9	
"Gebe"	"gei"	81	2651	-0.42	129.83	
"Maya"	"slz"	81	4000	-1.25	130.92	
"Kawe"	"kgb"	8	600	-0.17	130.17	
"Legenyem"	"lcc"	8	250	-0.25	130.75	
"Maden"	"xmx"	8	600	-1	130.75	
"Wauyai"	"wuy"	8	300	-0.47	130.53	
"Butleh"	"bu0"	8	0	-0.9	130.97	
"Waigeo"	"wgo"	81	300	-0.17	130.83	
"Matbat"	"xmt"	81	1250	-1.7	130.2	
"Tandia"	"tni"	71	2	-2.83	134.5	
"Waropen"	"wrp"	71	6000	-2.33	136.58	
"Ambai"	"amk"	71	10053	-1.83	136.5	
"Ansus"	"and"	9	4600	-1.67	135.5	
"Pom"	"pmo"	9	2000	-1.67	135.5	
"Serui-Laut"	"seu"	9	1200	-1.83	136.25	
"Woi"	"wbw"	9	1300	-1.5	135.33	
"Munggui"	"mth"	9	800	-1.67	135.83	
"Marau"	"mvr"	9	1700	-1.75	135.83	
"Papuma"	"ppm"	9	600	-1.75	135.92	
"Busami"	"bsm"	91	700	-1.75	136	
"Roon"	"rnn"	91	1100	-2.42	134.58	
"Wandamen"	"wad"	91	5000	-2.67	134	
"Kurudu"	"kjr"	81	2180	-1.92	137	
"Wabo"	"wbb"	91	1500	-1.83	136.75	
"Yaur"	"jau"	71	350	-3.17	134.83	
"Yeretuar"	"gop"	71	350	-3.08	134.67	
"Chamorro"	"cha"	22	92700	13.45	144.75	"  21     (Ch)"
"Javanese"	"jav"	22	84608470	-7	111	"  2      (JAVANESE)"
"New Caledo J"	"jas"	3	6750	-22.33	166.42	
"Carib J"	"jvn"	3	60000			
"Osing"	"osi"	3	300000	-8.25	114.33	
"Tengger"	"tes"	3	80000	-7.92	112.5	
"Lampung Api"	"ljp"	22	827000	-5	105	"         (LAMPUNGIC)"
"L Nyo"	"abl"	31	180000	-4.67	105.5	
"Komering"	"kge"	31	470000	-4	105	
"Bakati"	"bei"	22	4000	1.33	109.5	"         (LAND DAYAK)"
"Rara B"	"lra"	41	23300	1.58	109.67	
"Sara B"	"sre"	4	4000	1.17	109.67	
"Biat Bidayuh"	"bth"	31	72380	1.25	110	
"Tringgus-S B"	"trx"	41	850	1.22	110.12	
"Bau B"	"sne"	41	29200	1.5	110.17	
"Bukar-S B"	"sdo"	41	49100	1.25	111	
"Jangkang"	"djo"	31	37000	0.33	110.5	
"Kembayan"	"xem"	41	11000	0.67	110.5	
"Ribun"	"rir"	41	45000	0.33	110	
"Semandang"	"sdm"	41	20000	-0.83	110.33	
"Benyadu"	"byd"	31	54000	1	109.92	
"Sanggau"	"scg"	31	45000	0.33	110	
"Madura"	"mad"	22	13600900	-7	113.5	"         (MADURESE)"
"Kangean"	"kkv"	4	110000			
"Bali"	"ban"	32	3330000	-8.33	115.25	"         (BALI-SASAK)"
"Sasak"	"sas"	51	2100000	-8.67	116.5	
"Sumbawa"	"smw"	61	300000	-8.58	117.5	
"Aceh"	"ace"	42	3500000	5.5	95.5	"  2      (MALAYIC)"
"W Cham"	"cja"	51	321020	12	105.5	
"E"	"cjm"	7	73820	11.33	108.5	
"Haroi"	"hro"	61	35000	13.5	108.67	
"S Roglai"	"rgs"	51	41000	11.25	108.25	
"Cacgia R"	"roc"	81	3000	11.67	109.17	
"N R"	"rog"	81	52931	12.17	108.83	
"Tsat"	"huq"	81	3800	18.25	109.5	
"Chru"	"cje"	71	14978	11.5	108.5	
"Jarai"	"jra"	61	338200	14	107.92	
"Rade"	"rad"	61	270348	13	108.5	
"Iban"	"iba"	41	694400	2	112	2
"Balau"	"blg"	6	5000	1.25	111.75	
"Mualang"	"mtd"	6	40000	0.4	111	
"Remun"	"lkj"	6	3500	1	110.6	
"Seberuang"	"sbx"	6	37000	0.08	111.25	2
"Sebuyau"	"snb"	6	9000	1.52	110.92	
"Keninjal"	"knl"	51	32000	-0.5	111.83	
"Kendayan"	"knx"	61	290700	0.92	109.42	
"Ambon Malay"	"abs"	51	245020	-3.68	128.18	
"Banda M"	"bpq"	8	3690	-4.5	129.9	
"Kupang M"	"mkn"	8	200000	-10.17	123.58	
"Manado M"	"xmm"	8	850000	1.5	124.84	
"N Moluccan M"	"max"	8	700000	-1	128.33	
"Papuan M"	"pmy"	8	500000			
"Betawi"	"bew"	7	2700000	-6.17	106.75	
"Balinese M"	"mhp"	7	25000	-8.6	114.67	
"Cocos I M"	"coa"	7	5000	-10.33	105.75	
"Larantuka M"	"lrt"	7	20000	-8.35	122.98	
"Makassar M"	"mfp"	7	1880000	-5	119.5	
"Bangka"	"mfb"	6	340000	-1.67	105.92	
"Banjar"	"bjn"	6	3502300	-1	116.5	
"Brunei"	"kxd"	6	266000	4.95	114.95	
"Col"	"liw"	6	145000	-3.42	103	
"Haji"	"hji"	6	17500	-4.5	104	
"Indonesian"	"ind"	6	23187680	0	106	
"Jakun"	"jak"	6	0	2.5	103.25	
"Kaur"	"vkk"	6	40000	-3.25	103	
"Kerinci"	"kvr"	6	285000	-1.75	101.25	
"Kubu"	"kvb"	6	10000	-2.42	102.17	
"Loncong"	"lce"	6	420	-0.33	103.58	
"Lubu"	"lcf"	6	30000	0.67	99.75	
"Malay"	"zlm"	6	10296000	3	102	2
"Bacan Malay"	"btj"	6	2500	-0.58	127.42	
"Berau M"	"bve"	6	11200	2	117.5	
"Bukit M"	"bvu"	6	59000	-2.67	115.67	
"C M"	"pse"	6	2350000	-4.17	103.5	
"Jambi M"	"jax"	6	1000000	-1.67	103	
"Kedah M"	"meo"	6	2600000	6.67	100.08	
"Kot Ban Ku M"	"mqg"	6	80000	0	115.83	
"Pattani M"	"mfa"	6	1000000	6.42	101.58	
"Sabah M"	"msi"	6	0	5	115.5	2
"Standard M"	"zsm"	6	0	3	102	
"Tenggar Ku M"	"vkt"	6	210000	-0.33	117	
"Musi"	"mui"	6	3930000	-3.17	103	
"Orang Kanaq"	"orn"	6	0	2	104	
"O Seletar"	"ors"	6	880	1.5	103.75	
"Temuan"	"tmw"	6	0	3	102.25	
"Duano"	"dup"	61	15500	1	104	
"Minangbakau"	"min"	61	5530000	-1	101	2
"Pekal"	"pel"	6	30000	-3.08	101.5	
"Negeri Sem M"	"zmi"	6	0	2.67	102.5	
"Urak Lawoi"	"urk"	61	3000	8	98.33	
"Malay Dayak"	"xdy"	61	520000	-2	112	
"Sunda"	"sun"	32	34000000	-7	107	"         (SUNDANESE)"
"Badui"	"bac"	4	20000	-6.33	106.17	
"Moklen"	"mkm"	22	1500	8.5	98.25	"         (MOKLEN)"
"Moken"	"mwt"	31	7000	9.08	97.83	2
"Bahau"	"bhv"	22	19000	0.33	115.5	"         (KAYAN-MURIK)"
"Busang Kayan"	"bfg"	71	3000	1.08	115	
"Baram K"	"kys"	7	4150	3.5	114.5	
"Rejang K"	"ree"	7	3030	2.66	114.32	
"Wahau K"	"whu"	7	500	1.5	116.75	
"Mahakam K"	"xay"	7	1300	1	114.42	
"Mendalam K"	"xkd"	7	1500	1	113.25	
